ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
ID7104,ID7104,0,0,0,0,0,0
ID9408,ID9408,67825,15190,7254,1704,48132,22592
ID1501,ID1501,111368,20324,9956,12862,61537,30205
ID6106,ID6106,7724,1576,773,555,4630,2273
ID3310,ID3310,0,0,0,0,0,0
ID5105,ID5105,0,0,0,0,0,0
ID7404,ID7404,0,0,0,0,0,0
ID7411,ID7411,0,0,0,0,0,0
ID7408,ID7408,0,0,0,0,0,0
ID7403,ID7403,0,0,0,0,0,0
ID7412,ID7412,0,0,0,0,0,0
ID7405,ID7405,0,0,0,0,0,0
ID7410,ID7410,0,0,0,0,0,0
ID8171,ID8171,0,0,0,0,0,0
ID6471,ID6471,29588,5143,2521,3654,16123,7919
ID1171,ID1171,62730,12787,6285,5663,37992,18665
